ID;N°ruta;Recorrido ;Comuna;Barrio/Zona;Dia de recolección ;Horario;
1;Ruta 1 ;Viaducto, Avenida ferrocarril, Glorieta de Makro, Calle 9, Papiro parque residencial, Conjunto residencial teka, Conjunto residencial Zapan, Calle 15, Carrera 9, Conjunto portal del sol, Calle 17, Carrera 4A, Calle 16, La macarena, carrera 3B, Limonar, Calle 14,  Carrera 2 Campestre B, Calle 18,  Calle 19 Campestre C - los guaduales, Variante Romelia - El pollo, Urbanizacion el colibri,  Calle 19  Campestre C - los guaduales, Calle 17, Calle 18 Campestre B, Carrera 2, Calle 14, Carrera 4A la macarena, Calle 17, Avenida ferrocarril, Glorieta de Makro, Avenida ferrocarril, Viaducto. ;Comuna 1, Comuna 3 ;Papiro conunto residencial, Conjunto residencial teka, conjunto residencial zapan, conjunto portal del sol, La macarena, Limonar, Campestre B, Campestre C - los guaduales, Variante romelia, Urbanizacion colibri. ;Lunes y Jueves ;8:00 am a 12:00 pm ;
2;Ruta 5 ;Viaducto, avenida simon bolivar, Carrera 16, Calle 15, Conjunto residencial portal del parque, Carrera 16B parque valher, Calle 14, Carrera 20 Barrio Urbanizacion los almendros, Carrera 21 Santa Monica, Avenida la pradera, Calle 21, Conjunto residencial mirador de la pradera, Calle 21, Transversal 24A, Calle 25, Diagonal 25, Calle 35A, molivento 2, Mirador de villavento, Calle 35A, Diagonal 25, Urbanizacion los lagos, Villas de la pradera,Urbanizacion los rosales, calle 8, Urbanizacion diana turbay, Barrio santiago londoño, Calle 8, Barrio el Japon calle 8, Carrera 19A, Calle 9,  Villa Fanny, Carrera 16B, Calle 8, Viaducto. ;Comuna 2, Comuna 5, Comuna 7 ;Conjunto Villas de la pradera, Conjuntob Mirador de la pradera, Zaguan de villavento 2, ;Miercoles;2:00 pm a 5:00 pm ;
3;Ruta 11;Viaducto, Avenida simon bolivar, Carrera 16, Valher, Carrera 16A, Carrera 16B, Calle 13, Carrera 21 barrio la aurora, Calle 12, Calle 13, Diagonal 23, Altos de Santa Monica,Villas de santa monica  La Sultana, Calle 14, Diagonal 25, Calle 13, Carrera 22, Calle 12, Carrera 21 barrio la aurora, Calle 13, Carrera 16B, Calle 9 por la campiña,  gira por la carrera 19A barrio el Japon, Calle 8 via japon - frailes, Mirador de la estancia, Calle 8 via frailes, sube por la calle 27, hasta urbanizacion los rosales, sube por la calle 28 y se devuelve, Calle 27 via frailes, Calle 8 via japon-frailes, hasta villa fanny y gira por la popa, hacia  el puente mosquera-  san judas y sigue por la avenida del rio.  ;Comuna 2, Comuna 5 ;Valher, Altos de Santa Monica, villas de santa monica,  La Sultana, Mirador de la estancia, urbanizacion los rosales.;Miercoles ;8:00 am a 5:00 pm ;
4;Ruta 13;Viaducto, Glorieta de Makro, Calle 9 Variante turin - la popa, por centro comercial la macarena, y gira por transversal 5, por via dosquebradas - la graciela, Barrio urbaniacion la alqueria, sigue por Variante Romelia el pollo,  gira por calle 19 barrio campestre C - los guaduales, baja por la carrera 2, por la calle 14 barrio limonar y la macarenna, gira carrera 4A, Calle 17 y gira por la carrera 9,  se incorpora a calle 15,  Glorieta de Makro, Avenida ferrocarril, Viaducto. ;Comuna 1, Comuna 3 ;Urbaniacion la alqueria, variante romelia el polllo. ;Jueves;2.00 pm a 5:00 pm ;
5;Ruta 16;Viaducto, Avenida simon bolivar, gira en avenida la pradera, y se devuelve en calle 21, avenida la pradera hasta avenida simon bolivar, Viaducto. ;Comuna 5 ;La pradera.;Martes ;8:00 am a 12:00 pm ;
